Dataset,Rep,Depth,Tool,LengthBin,Truth,TP,Recall,tool_display
human_U_10000,rep1,sequencing_30X,CReSIL,>50kb,277,234,0.8448,CReSIL
human_U_10000,rep2,sequencing_30X,CReSIL,>50kb,274,228,0.8321,CReSIL
human_U_10000,rep3,sequencing_30X,CReSIL,>50kb,242,203,0.8388,CReSIL
human_U_10000,rep1,sequencing_30X,eccDNA_RCA,<1kb,5804,4973,0.8568,eccDNA_RCA_nanopore
human_U_10000,rep2,sequencing_30X,eccDNA_RCA,<1kb,5826,4988,0.8562,eccDNA_RCA_nanopore
human_U_10000,rep3,sequencing_30X,eccDNA_RCA,<1kb,5842,5006,0.8569,eccDNA_RCA_nanopore
human_U_10000,rep1,sequencing_30X,eccDNA_RCA,1-5kb,3558,3421,0.9615,eccDNA_RCA_nanopore
human_U_10000,rep2,sequencing_30X,eccDNA_RCA,1-5kb,3574,3403,0.9522,eccDNA_RCA_nanopore
human_U_10000,rep3,sequencing_30X,eccDNA_RCA,1-5kb,3562,3394,0.9528,eccDNA_RCA_nanopore
human_U_10000,rep1,sequencing_30X,eccDNA_RCA,5-50kb,361,149,0.4127,eccDNA_RCA_nanopore
human_U_10000,rep2,sequencing_30X,eccDNA_RCA,5-50kb,326,118,0.362,eccDNA_RCA_nanopore
human_U_10000,rep3,sequencing_30X,eccDNA_RCA,5-50kb,354,133,0.3757,eccDNA_RCA_nanopore
human_U_10000,rep1,sequencing_30X,eccDNA_RCA,>50kb,277,0,0.0,eccDNA_RCA_nanopore
human_U_10000,rep2,sequencing_30X,eccDNA_RCA,>50kb,274,0,0.0,eccDNA_RCA_nanopore
human_U_10000,rep3,sequencing_30X,eccDNA_RCA,>50kb,242,0,0.0,eccDNA_RCA_nanopore
human_U_10000,rep1,sequencing_30X,CircleMap,<1kb,5804,4088,0.7043,Circle-Map
human_U_10000,rep2,sequencing_30X,CircleMap,<1kb,5826,4112,0.7058,Circle-Map
human_U_10000,rep3,sequencing_30X,CircleMap,<1kb,5842,4107,0.703,Circle-Map
human_U_10000,rep1,sequencing_30X,CircleMap,1-5kb,3558,3265,0.9177,Circle-Map
human_U_10000,rep2,sequencing_30X,CircleMap,1-5kb,3574,3265,0.9135,Circle-Map
human_U_10000,rep3,sequencing_30X,CircleMap,1-5kb,3562,3223,0.9048,Circle-Map
human_U_10000,rep1,sequencing_30X,CircleMap,5-50kb,361,320,0.8864,Circle-Map
human_U_10000,rep2,sequencing_30X,CircleMap,5-50kb,326,280,0.8589,Circle-Map
human_U_10000,rep3,sequencing_30X,CircleMap,5-50kb,354,309,0.8729,Circle-Map
human_U_10000,rep1,sequencing_30X,CircleMap,>50kb,277,234,0.8448,Circle-Map
human_U_10000,rep2,sequencing_30X,CircleMap,>50kb,274,227,0.8285,Circle-Map
human_U_10000,rep3,sequencing_30X,CircleMap,>50kb,242,202,0.8347,Circle-Map
human_U_10000,rep1,sequencing_30X,ecc_finder,<1kb,5804,1832,0.3156,ecc_finder
human_U_10000,rep2,sequencing_30X,ecc_finder,<1kb,5826,1869,0.3208,ecc_finder
human_U_10000,rep3,sequencing_30X,ecc_finder,<1kb,5842,1921,0.3288,ecc_finder
human_U_10000,rep1,sequencing_30X,ecc_finder,1-5kb,3558,1444,0.4058,ecc_finder
human_U_10000,rep2,sequencing_30X,ecc_finder,1-5kb,3574,1421,0.3976,ecc_finder
human_U_10000,rep3,sequencing_30X,ecc_finder,1-5kb,3562,1380,0.3874,ecc_finder
human_U_10000,rep1,sequencing_30X,ecc_finder,5-50kb,361,132,0.3657,ecc_finder
human_U_10000,rep2,sequencing_30X,ecc_finder,5-50kb,326,121,0.3712,ecc_finder
human_U_10000,rep3,sequencing_30X,ecc_finder,5-50kb,354,109,0.3079,ecc_finder
human_U_10000,rep1,sequencing_30X,ecc_finder,>50kb,277,148,0.5343,ecc_finder
human_U_10000,rep2,sequencing_30X,ecc_finder,>50kb,274,155,0.5657,ecc_finder
human_U_10000,rep3,sequencing_30X,ecc_finder,>50kb,242,147,0.6074,ecc_finder
human_U_10000,rep1,sequencing_50X,CircleSeeker,<1kb,5804,5757,0.9919,CircleSeeker
human_U_10000,rep2,sequencing_50X,CircleSeeker,<1kb,5826,5792,0.9942,CircleSeeker
human_U_10000,rep3,sequencing_50X,CircleSeeker,<1kb,5842,5807,0.994,CircleSeeker
human_U_10000,rep1,sequencing_50X,CircleSeeker,1-5kb,3558,3548,0.9972,CircleSeeker
human_U_10000,rep2,sequencing_50X,CircleSeeker,1-5kb,3574,3565,0.9975,CircleSeeker
human_U_10000,rep3,sequencing_50X,CircleSeeker,1-5kb,3562,3548,0.9961,CircleSeeker
human_U_10000,rep1,sequencing_50X,CircleSeeker,5-50kb,361,345,0.9557,CircleSeeker
human_U_10000,rep2,sequencing_50X,CircleSeeker,5-50kb,326,307,0.9417,CircleSeeker
human_U_10000,rep3,sequencing_50X,CircleSeeker,5-50kb,354,339,0.9576,CircleSeeker
human_U_10000,rep1,sequencing_50X,CircleSeeker,>50kb,277,246,0.8881,CircleSeeker
human_U_10000,rep2,sequencing_50X,CircleSeeker,>50kb,274,239,0.8723,CircleSeeker
human_U_10000,rep3,sequencing_50X,CircleSeeker,>50kb,242,216,0.8926,CircleSeeker
human_U_10000,rep1,sequencing_50X,CReSIL_HiFi,<1kb,5804,5318,0.9163,CReSIL-HiFi (author-created HiFi adaptation)
human_U_10000,rep2,sequencing_50X,CReSIL_HiFi,<1kb,5826,5310,0.9114,CReSIL-HiFi (author-created HiFi adaptation)
human_U_10000,rep3,sequencing_50X,CReSIL_HiFi,<1kb,5842,5360,0.9175,CReSIL-HiFi (author-created HiFi adaptation)
human_U_10000,rep1,sequencing_50X,CReSIL_HiFi,1-5kb,3558,3323,0.934,CReSIL-HiFi (author-created HiFi adaptation)
human_U_10000,rep2,sequencing_50X,CReSIL_HiFi,1-5kb,3574,3299,0.9231,CReSIL-HiFi (author-created HiFi adaptation)
human_U_10000,rep3,sequencing_50X,CReSIL_HiFi,1-5kb,3562,3320,0.9321,CReSIL-HiFi (author-created HiFi adaptation)
human_U_10000,rep1,sequencing_50X,CReSIL_HiFi,5-50kb,361,332,0.9197,CReSIL-HiFi (author-created HiFi adaptation)
human_U_10000,rep2,sequencing_50X,CReSIL_HiFi,5-50kb,326,295,0.9049,CReSIL-HiFi (author-created HiFi adaptation)
human_U_10000,rep3,sequencing_50X,CReSIL_HiFi,5-50kb,354,322,0.9096,CReSIL-HiFi (author-created HiFi adaptation)
human_U_10000,rep1,sequencing_50X,CReSIL_HiFi,>50kb,277,249,0.8989,CReSIL-HiFi (author-created HiFi adaptation)
human_U_10000,rep2,sequencing_50X,CReSIL_HiFi,>50kb,274,240,0.8759,CReSIL-HiFi (author-created HiFi adaptation)
human_U_10000,rep3,sequencing_50X,CReSIL_HiFi,>50kb,242,213,0.8802,CReSIL-HiFi (author-created HiFi adaptation)
human_U_10000,rep1,sequencing_50X,CReSIL,<1kb,5804,4792,0.8256,CReSIL
human_U_10000,rep2,sequencing_50X,CReSIL,<1kb,5826,4748,0.815,CReSIL
human_U_10000,rep3,sequencing_50X,CReSIL,<1kb,5842,4797,0.8211,CReSIL
human_U_10000,rep1,sequencing_50X,CReSIL,1-5kb,3558,3277,0.921,CReSIL
human_U_10000,rep2,sequencing_50X,CReSIL,1-5kb,3574,3238,0.906,CReSIL
human_U_10000,rep3,sequencing_50X,CReSIL,1-5kb,3562,3273,0.9189,CReSIL
human_U_10000,rep1,sequencing_50X,CReSIL,5-50kb,361,331,0.9169,CReSIL
human_U_10000,rep2,sequencing_50X,CReSIL,5-50kb,326,288,0.8834,CReSIL
human_U_10000,rep3,sequencing_50X,CReSIL,5-50kb,354,321,0.9068,CReSIL
