Genome,Rep,Depth,Tool,EvalType,Truth,Detected,TP,FP,FN,Precision,Recall,F1,Redundancy,tool_display
ara_UMC_5200,rep2,sequencing_50X,CReSIL_HiFi,Uecc,4000,,2431,,1569,,0.6078,,,CReSIL-HiFi (author-created HiFi adaptation)
ara_UMC_5200,rep3,sequencing_50X,CReSIL_HiFi,Uecc,4000,,2497,,1503,,0.6242,,,CReSIL-HiFi (author-created HiFi adaptation)
ara_UMC_5200,rep1,sequencing_50X,CReSIL,Uecc,4000,,2291,,1709,,0.5727,,,CReSIL
ara_UMC_5200,rep2,sequencing_50X,CReSIL,Uecc,4000,,2364,,1636,,0.591,,,CReSIL
ara_UMC_5200,rep3,sequencing_50X,CReSIL,Uecc,4000,,2450,,1550,,0.6125,,,CReSIL
ara_UMC_5200,rep1,sequencing_50X,eccDNA_RCA,Uecc,4000,,3606,,394,,0.9015,,4.38,eccDNA_RCA_nanopore
ara_UMC_5200,rep2,sequencing_50X,eccDNA_RCA,Uecc,4000,,3601,,399,,0.9002,,4.27,eccDNA_RCA_nanopore
ara_UMC_5200,rep3,sequencing_50X,eccDNA_RCA,Uecc,4000,,3612,,388,,0.903,,4.28,eccDNA_RCA_nanopore
ara_UMC_5200,rep1,sequencing_50X,CircleMap,Uecc,4000,,3288,,712,,0.822,,,Circle-Map
ara_UMC_5200,rep2,sequencing_50X,CircleMap,Uecc,4000,,3298,,702,,0.8245,,,Circle-Map
ara_UMC_5200,rep3,sequencing_50X,CircleMap,Uecc,4000,,3304,,696,,0.826,,,Circle-Map
ara_UMC_5200,rep1,sequencing_50X,ecc_finder,Uecc,4000,,97,,3903,,0.0243,,,ecc_finder
ara_UMC_5200,rep2,sequencing_50X,ecc_finder,Uecc,4000,,108,,3892,,0.027,,,ecc_finder
ara_UMC_5200,rep3,sequencing_50X,ecc_finder,Uecc,4000,,93,,3907,,0.0232,,,ecc_finder
human_23000,rep1,sequencing_10X,CircleSeeker,Uecc,20000,18711.0,18593,155.0,1407,0.9917,0.9296,0.9597,,CircleSeeker
human_23000,rep2,sequencing_10X,CircleSeeker,Uecc,20000,18723.0,18604,156.0,1396,0.9917,0.9302,0.96,,CircleSeeker
human_23000,rep3,sequencing_10X,CircleSeeker,Uecc,20000,18761.0,18658,151.0,1342,0.992,0.9329,0.9615,,CircleSeeker
human_23000,rep1,sequencing_10X,CReSIL_HiFi,Uecc,20000,,12533,,7467,,0.6267,,,CReSIL-HiFi (author-created HiFi adaptation)
human_23000,rep2,sequencing_10X,CReSIL_HiFi,Uecc,20000,,12418,,7582,,0.6209,,,CReSIL-HiFi (author-created HiFi adaptation)
human_23000,rep3,sequencing_10X,CReSIL_HiFi,Uecc,20000,,12621,,7379,,0.631,,,CReSIL-HiFi (author-created HiFi adaptation)
human_23000,rep1,sequencing_10X,CReSIL,Uecc,20000,,9871,,10129,,0.4935,,,CReSIL
human_23000,rep2,sequencing_10X,CReSIL,Uecc,20000,,9648,,10352,,0.4824,,,CReSIL
human_23000,rep3,sequencing_10X,CReSIL,Uecc,20000,,9880,,10120,,0.494,,,CReSIL
human_23000,rep1,sequencing_10X,eccDNA_RCA,Uecc,20000,,14673,,5327,,0.7337,,1.65,eccDNA_RCA_nanopore
human_23000,rep2,sequencing_10X,eccDNA_RCA,Uecc,20000,,14403,,5597,,0.7201,,1.65,eccDNA_RCA_nanopore
human_23000,rep3,sequencing_10X,eccDNA_RCA,Uecc,20000,,14632,,5368,,0.7316,,1.67,eccDNA_RCA_nanopore
human_23000,rep1,sequencing_10X,CircleMap,Uecc,20000,,10672,,9328,,0.5336,,,Circle-Map
human_23000,rep2,sequencing_10X,CircleMap,Uecc,20000,,10506,,9494,,0.5253,,,Circle-Map
human_23000,rep3,sequencing_10X,CircleMap,Uecc,20000,,10624,,9376,,0.5312,,,Circle-Map
human_23000,rep1,sequencing_10X,ecc_finder,Uecc,20000,,1893,,18107,,0.0946,,,ecc_finder
human_23000,rep2,sequencing_10X,ecc_finder,Uecc,20000,,1881,,18119,,0.094,,,ecc_finder
human_23000,rep3,sequencing_10X,ecc_finder,Uecc,20000,,1798,,18202,,0.0899,,,ecc_finder
human_23000,rep1,sequencing_30X,CircleSeeker,Uecc,20000,19761.0,19654,147.0,346,0.9926,0.9827,0.9876,,CircleSeeker
human_23000,rep2,sequencing_30X,CircleSeeker,Uecc,20000,19768.0,19658,155.0,342,0.9922,0.9829,0.9875,,CircleSeeker
human_23000,rep3,sequencing_30X,CircleSeeker,Uecc,20000,19761.0,19658,154.0,342,0.9922,0.9829,0.9875,,CircleSeeker
human_23000,rep1,sequencing_30X,CReSIL_HiFi,Uecc,20000,,16926,,3074,,0.8463,,,CReSIL-HiFi (author-created HiFi adaptation)
human_23000,rep2,sequencing_30X,CReSIL_HiFi,Uecc,20000,,16828,,3172,,0.8414,,,CReSIL-HiFi (author-created HiFi adaptation)
human_23000,rep3,sequencing_30X,CReSIL_HiFi,Uecc,20000,,16972,,3028,,0.8486,,,CReSIL-HiFi (author-created HiFi adaptation)
human_23000,rep1,sequencing_30X,CReSIL,Uecc,20000,,15288,,4712,,0.7644,,,CReSIL
human_23000,rep2,sequencing_30X,CReSIL,Uecc,20000,,15112,,4888,,0.7556,,,CReSIL
human_23000,rep3,sequencing_30X,CReSIL,Uecc,20000,,15266,,4734,,0.7633,,,CReSIL
human_23000,rep1,sequencing_30X,eccDNA_RCA,Uecc,20000,,17090,,2910,,0.8545,,3.15,eccDNA_RCA_nanopore
human_23000,rep2,sequencing_30X,eccDNA_RCA,Uecc,20000,,16965,,3035,,0.8482,,3.11,eccDNA_RCA_nanopore
human_23000,rep3,sequencing_30X,eccDNA_RCA,Uecc,20000,,17115,,2885,,0.8558,,3.16,eccDNA_RCA_nanopore
human_23000,rep1,sequencing_30X,CircleMap,Uecc,20000,,15774,,4226,,0.7887,,,Circle-Map
human_23000,rep2,sequencing_30X,CircleMap,Uecc,20000,,15606,,4394,,0.7803,,,Circle-Map
human_23000,rep3,sequencing_30X,CircleMap,Uecc,20000,,15716,,4284,,0.7858,,,Circle-Map
human_23000,rep1,sequencing_30X,ecc_finder,Uecc,20000,,2419,,17581,,0.121,,,ecc_finder
human_23000,rep2,sequencing_30X,ecc_finder,Uecc,20000,,1975,,18025,,0.0988,,,ecc_finder
human_23000,rep3,sequencing_30X,ecc_finder,Uecc,20000,,2464,,17536,,0.1232,,,ecc_finder
human_23000,rep1,sequencing_50X,CircleSeeker,Uecc,20000,19872.0,19761,152.0,239,0.9924,0.988,0.9902,,CircleSeeker
human_23000,rep2,sequencing_50X,CircleSeeker,Uecc,20000,19869.0,19754,160.0,246,0.9919,0.9877,0.9898,,CircleSeeker
human_23000,rep3,sequencing_50X,CircleSeeker,Uecc,20000,19877.0,19757,174.0,243,0.9912,0.9879,0.9895,,CircleSeeker
human_23000,rep1,sequencing_50X,CReSIL_HiFi,Uecc,20000,,17379,,2621,,0.869,,,CReSIL-HiFi (author-created HiFi adaptation)
human_23000,rep2,sequencing_50X,CReSIL_HiFi,Uecc,20000,,17337,,2663,,0.8669,,,CReSIL-HiFi (author-created HiFi adaptation)
human_23000,rep3,sequencing_50X,CReSIL_HiFi,Uecc,20000,,17427,,2573,,0.8713,,,CReSIL-HiFi (author-created HiFi adaptation)
human_23000,rep1,sequencing_50X,CReSIL,Uecc,20000,,16226,,3774,,0.8113,,,CReSIL
