Genome,Rep,Depth,Tool,EvalType,Truth,Detected,TP,FP,FN,Precision,Recall,F1,Redundancy,tool_display
human_U_10000,rep1,sequencing_50X,CReSIL_HiFi,Overall,10000,9235.0,9222,13.0,778,0.9986,0.9222,0.9589,,CReSIL-HiFi (author-created HiFi adaptation)
human_U_10000,rep2,sequencing_50X,CReSIL_HiFi,Overall,10000,9168.0,9144,24.0,856,0.9974,0.9144,0.9541,,CReSIL-HiFi (author-created HiFi adaptation)
human_U_10000,rep3,sequencing_50X,CReSIL_HiFi,Overall,10000,9236.0,9215,21.0,785,0.9977,0.9215,0.9581,,CReSIL-HiFi (author-created HiFi adaptation)
human_U_10000,rep1,sequencing_50X,CReSIL,Overall,10000,8719.0,8641,78.0,1359,0.9911,0.8641,0.9232,,CReSIL
human_U_10000,rep2,sequencing_50X,CReSIL,Overall,10000,8608.0,8514,94.0,1486,0.9891,0.8514,0.9151,,CReSIL
human_U_10000,rep3,sequencing_50X,CReSIL,Overall,10000,8686.0,8603,83.0,1397,0.9904,0.8603,0.9208,,CReSIL
human_U_10000,rep1,sequencing_50X,eccDNA_RCA,Overall,10000,13940.0,8827,5113.0,1173,0.6332,0.8827,0.7374,4.51,eccDNA_RCA_nanopore
human_U_10000,rep2,sequencing_50X,eccDNA_RCA,Overall,10000,13848.0,8797,5051.0,1203,0.6353,0.8797,0.7378,4.45,eccDNA_RCA_nanopore
human_U_10000,rep3,sequencing_50X,eccDNA_RCA,Overall,10000,13798.0,8826,4972.0,1174,0.6397,0.8826,0.7417,4.5,eccDNA_RCA_nanopore
human_U_10000,rep1,sequencing_50X,CircleMap,Overall,10000,8737.0,8488,249.0,1512,0.9715,0.8488,0.906,,Circle-Map
human_U_10000,rep2,sequencing_50X,CircleMap,Overall,10000,8658.0,8429,229.0,1571,0.9736,0.8429,0.9035,,Circle-Map
human_U_10000,rep3,sequencing_50X,CircleMap,Overall,10000,8664.0,8451,213.0,1549,0.9754,0.8451,0.9056,,Circle-Map
human_U_10000,rep1,sequencing_50X,ecc_finder,Overall,10000,4505.0,4251,254.0,5749,0.9436,0.4251,0.5861,,ecc_finder
human_U_10000,rep2,sequencing_50X,ecc_finder,Overall,10000,4471.0,4231,240.0,5769,0.9463,0.4231,0.5848,,ecc_finder
human_U_10000,rep3,sequencing_50X,ecc_finder,Overall,10000,4420.0,4176,244.0,5824,0.9448,0.4176,0.5792,,ecc_finder
