Dataset,Rep,Depth,Tool,LengthBin,Truth,TP,Recall
ara_UMC_5200,rep3,sequencing_10X,ecc_finder,5-50kb,276,6,0.0217
ara_UMC_5200,rep3,sequencing_10X,ecc_finder,>50kb,87,12,0.1379
ara_UMC_5200,rep1,sequencing_30X,CircleMap,<1kb,3081,1633,0.53
ara_UMC_5200,rep1,sequencing_30X,CircleMap,1-5kb,1742,1297,0.7445
ara_UMC_5200,rep1,sequencing_30X,CircleMap,5-50kb,269,109,0.4052
ara_UMC_5200,rep1,sequencing_30X,CircleMap,>50kb,108,89,0.8241
ara_UMC_5200,rep1,sequencing_30X,CircleSeeker,<1kb,3081,3013,0.9779
ara_UMC_5200,rep1,sequencing_30X,CircleSeeker,1-5kb,1742,1725,0.9902
ara_UMC_5200,rep1,sequencing_30X,CircleSeeker,5-50kb,269,224,0.8327
ara_UMC_5200,rep1,sequencing_30X,CircleSeeker,>50kb,108,52,0.4815
ara_UMC_5200,rep1,sequencing_30X,CReSIL,<1kb,3081,1240,0.4025
ara_UMC_5200,rep1,sequencing_30X,CReSIL,1-5kb,1742,832,0.4776
ara_UMC_5200,rep1,sequencing_30X,CReSIL,5-50kb,269,88,0.3271
ara_UMC_5200,rep1,sequencing_30X,CReSIL,>50kb,108,46,0.4259
ara_UMC_5200,rep1,sequencing_30X,CReSIL_HiFi,<1kb,3081,1386,0.4499
ara_UMC_5200,rep1,sequencing_30X,CReSIL_HiFi,1-5kb,1742,851,0.4885
ara_UMC_5200,rep1,sequencing_30X,CReSIL_HiFi,5-50kb,269,80,0.2974
ara_UMC_5200,rep1,sequencing_30X,CReSIL_HiFi,>50kb,108,51,0.4722
ara_UMC_5200,rep1,sequencing_30X,eccDNA_RCA,<1kb,3081,2033,0.6599
ara_UMC_5200,rep1,sequencing_30X,eccDNA_RCA,1-5kb,1742,1401,0.8042
ara_UMC_5200,rep1,sequencing_30X,eccDNA_RCA,5-50kb,269,63,0.2342
ara_UMC_5200,rep1,sequencing_30X,eccDNA_RCA,>50kb,108,0,0.0
ara_UMC_5200,rep1,sequencing_30X,ecc_finder,<1kb,3081,1,0.0003
ara_UMC_5200,rep1,sequencing_30X,ecc_finder,1-5kb,1742,16,0.0092
ara_UMC_5200,rep1,sequencing_30X,ecc_finder,5-50kb,269,21,0.0781
ara_UMC_5200,rep1,sequencing_30X,ecc_finder,>50kb,108,38,0.3519
ara_UMC_5200,rep2,sequencing_30X,CircleMap,<1kb,3076,1637,0.5322
ara_UMC_5200,rep2,sequencing_30X,CircleMap,1-5kb,1712,1273,0.7436
ara_UMC_5200,rep2,sequencing_30X,CircleMap,5-50kb,322,140,0.4348
ara_UMC_5200,rep2,sequencing_30X,CircleMap,>50kb,90,74,0.8222
ara_UMC_5200,rep2,sequencing_30X,CircleSeeker,<1kb,3076,3007,0.9776
ara_UMC_5200,rep2,sequencing_30X,CircleSeeker,1-5kb,1712,1692,0.9883
ara_UMC_5200,rep2,sequencing_30X,CircleSeeker,5-50kb,322,267,0.8292
ara_UMC_5200,rep2,sequencing_30X,CircleSeeker,>50kb,90,39,0.4333
ara_UMC_5200,rep2,sequencing_30X,CReSIL,<1kb,3076,1259,0.4093
ara_UMC_5200,rep2,sequencing_30X,CReSIL,1-5kb,1712,870,0.5082
ara_UMC_5200,rep2,sequencing_30X,CReSIL,5-50kb,322,101,0.3137
ara_UMC_5200,rep2,sequencing_30X,CReSIL,>50kb,90,37,0.4111
ara_UMC_5200,rep2,sequencing_30X,CReSIL_HiFi,<1kb,3076,1421,0.462
ara_UMC_5200,rep2,sequencing_30X,CReSIL_HiFi,1-5kb,1712,886,0.5175
ara_UMC_5200,rep2,sequencing_30X,CReSIL_HiFi,5-50kb,322,101,0.3137
ara_UMC_5200,rep2,sequencing_30X,CReSIL_HiFi,>50kb,90,39,0.4333
ara_UMC_5200,rep2,sequencing_30X,eccDNA_RCA,<1kb,3076,2029,0.6596
ara_UMC_5200,rep2,sequencing_30X,eccDNA_RCA,1-5kb,1712,1364,0.7967
ara_UMC_5200,rep2,sequencing_30X,eccDNA_RCA,5-50kb,322,68,0.2112
ara_UMC_5200,rep2,sequencing_30X,eccDNA_RCA,>50kb,90,0,0.0
ara_UMC_5200,rep2,sequencing_30X,ecc_finder,<1kb,3076,6,0.002
ara_UMC_5200,rep2,sequencing_30X,ecc_finder,1-5kb,1712,23,0.0134
ara_UMC_5200,rep2,sequencing_30X,ecc_finder,5-50kb,322,25,0.0776
ara_UMC_5200,rep2,sequencing_30X,ecc_finder,>50kb,90,28,0.3111
ara_UMC_5200,rep3,sequencing_30X,CircleMap,<1kb,3073,1707,0.5555
ara_UMC_5200,rep3,sequencing_30X,CircleMap,1-5kb,1764,1277,0.7239
ara_UMC_5200,rep3,sequencing_30X,CircleMap,5-50kb,276,116,0.4203
ara_UMC_5200,rep3,sequencing_30X,CircleMap,>50kb,87,69,0.7931
ara_UMC_5200,rep3,sequencing_30X,CircleSeeker,<1kb,3073,3000,0.9762
ara_UMC_5200,rep3,sequencing_30X,CircleSeeker,1-5kb,1764,1731,0.9813
ara_UMC_5200,rep3,sequencing_30X,CircleSeeker,5-50kb,276,224,0.8116
ara_UMC_5200,rep3,sequencing_30X,CircleSeeker,>50kb,87,46,0.5287
ara_UMC_5200,rep3,sequencing_30X,CReSIL,<1kb,3073,1340,0.4361
ara_UMC_5200,rep3,sequencing_30X,CReSIL,1-5kb,1764,903,0.5119
ara_UMC_5200,rep3,sequencing_30X,CReSIL,5-50kb,276,93,0.337
ara_UMC_5200,rep3,sequencing_30X,CReSIL,>50kb,87,44,0.5057
ara_UMC_5200,rep3,sequencing_30X,CReSIL_HiFi,<1kb,3073,1479,0.4813
ara_UMC_5200,rep3,sequencing_30X,CReSIL_HiFi,1-5kb,1764,912,0.517
ara_UMC_5200,rep3,sequencing_30X,CReSIL_HiFi,5-50kb,276,90,0.3261
ara_UMC_5200,rep3,sequencing_30X,CReSIL_HiFi,>50kb,87,44,0.5057
ara_UMC_5200,rep3,sequencing_30X,eccDNA_RCA,<1kb,3073,2070,0.6736
