Dataset,Rep,Depth,Tool,LengthBin,Truth,TP,Recall
human_U_10000,rep1,sequencing_30X,ecc_finder,>50kb,277,148,0.5343
human_U_10000,rep2,sequencing_30X,CircleMap,<1kb,5826,4112,0.7058
human_U_10000,rep2,sequencing_30X,CircleMap,1-5kb,3574,3265,0.9135
human_U_10000,rep2,sequencing_30X,CircleMap,5-50kb,326,280,0.8589
human_U_10000,rep2,sequencing_30X,CircleMap,>50kb,274,227,0.8285
human_U_10000,rep2,sequencing_30X,CircleSeeker,<1kb,5826,5778,0.9918
human_U_10000,rep2,sequencing_30X,CircleSeeker,1-5kb,3574,3548,0.9927
human_U_10000,rep2,sequencing_30X,CircleSeeker,5-50kb,326,299,0.9172
human_U_10000,rep2,sequencing_30X,CircleSeeker,>50kb,274,235,0.8577
human_U_10000,rep2,sequencing_30X,CReSIL,<1kb,5826,4323,0.742
human_U_10000,rep2,sequencing_30X,CReSIL,1-5kb,3574,3141,0.8788
human_U_10000,rep2,sequencing_30X,CReSIL,5-50kb,326,279,0.8558
human_U_10000,rep2,sequencing_30X,CReSIL,>50kb,274,228,0.8321
human_U_10000,rep2,sequencing_30X,CReSIL_HiFi,<1kb,5826,5152,0.8843
human_U_10000,rep2,sequencing_30X,CReSIL_HiFi,1-5kb,3574,3208,0.8976
human_U_10000,rep2,sequencing_30X,CReSIL_HiFi,5-50kb,326,285,0.8742
human_U_10000,rep2,sequencing_30X,CReSIL_HiFi,>50kb,274,236,0.8613
human_U_10000,rep2,sequencing_30X,eccDNA_RCA,<1kb,5826,4988,0.8562
human_U_10000,rep2,sequencing_30X,eccDNA_RCA,1-5kb,3574,3403,0.9522
human_U_10000,rep2,sequencing_30X,eccDNA_RCA,5-50kb,326,118,0.362
human_U_10000,rep2,sequencing_30X,eccDNA_RCA,>50kb,274,0,0.0
human_U_10000,rep2,sequencing_30X,ecc_finder,<1kb,5826,1869,0.3208
human_U_10000,rep2,sequencing_30X,ecc_finder,1-5kb,3574,1421,0.3976
human_U_10000,rep2,sequencing_30X,ecc_finder,5-50kb,326,121,0.3712
human_U_10000,rep2,sequencing_30X,ecc_finder,>50kb,274,155,0.5657
human_U_10000,rep3,sequencing_30X,CircleMap,<1kb,5842,4107,0.703
human_U_10000,rep3,sequencing_30X,CircleMap,1-5kb,3562,3223,0.9048
human_U_10000,rep3,sequencing_30X,CircleMap,5-50kb,354,309,0.8729
human_U_10000,rep3,sequencing_30X,CircleMap,>50kb,242,202,0.8347
human_U_10000,rep3,sequencing_30X,CircleSeeker,<1kb,5842,5773,0.9882
human_U_10000,rep3,sequencing_30X,CircleSeeker,1-5kb,3562,3529,0.9907
human_U_10000,rep3,sequencing_30X,CircleSeeker,5-50kb,354,332,0.9379
human_U_10000,rep3,sequencing_30X,CircleSeeker,>50kb,242,211,0.8719
human_U_10000,rep3,sequencing_30X,CReSIL,<1kb,5842,4391,0.7516
human_U_10000,rep3,sequencing_30X,CReSIL,1-5kb,3562,3160,0.8871
human_U_10000,rep3,sequencing_30X,CReSIL,5-50kb,354,314,0.887
human_U_10000,rep3,sequencing_30X,CReSIL,>50kb,242,203,0.8388
human_U_10000,rep3,sequencing_30X,CReSIL_HiFi,<1kb,5842,5215,0.8927
human_U_10000,rep3,sequencing_30X,CReSIL_HiFi,1-5kb,3562,3244,0.9107
human_U_10000,rep3,sequencing_30X,CReSIL_HiFi,5-50kb,354,319,0.9011
human_U_10000,rep3,sequencing_30X,CReSIL_HiFi,>50kb,242,209,0.8636
human_U_10000,rep3,sequencing_30X,eccDNA_RCA,<1kb,5842,5006,0.8569
human_U_10000,rep3,sequencing_30X,eccDNA_RCA,1-5kb,3562,3394,0.9528
human_U_10000,rep3,sequencing_30X,eccDNA_RCA,5-50kb,354,133,0.3757
human_U_10000,rep3,sequencing_30X,eccDNA_RCA,>50kb,242,0,0.0
human_U_10000,rep3,sequencing_30X,ecc_finder,<1kb,5842,1921,0.3288
human_U_10000,rep3,sequencing_30X,ecc_finder,1-5kb,3562,1380,0.3874
human_U_10000,rep3,sequencing_30X,ecc_finder,5-50kb,354,109,0.3079
human_U_10000,rep3,sequencing_30X,ecc_finder,>50kb,242,147,0.6074
human_U_10000,rep1,sequencing_50X,CircleMap,<1kb,5804,4491,0.7738
human_U_10000,rep1,sequencing_50X,CircleMap,1-5kb,3558,3408,0.9578
human_U_10000,rep1,sequencing_50X,CircleMap,5-50kb,361,338,0.9363
human_U_10000,rep1,sequencing_50X,CircleMap,>50kb,277,251,0.9061
human_U_10000,rep1,sequencing_50X,CircleSeeker,<1kb,5804,5757,0.9919
human_U_10000,rep1,sequencing_50X,CircleSeeker,1-5kb,3558,3548,0.9972
human_U_10000,rep1,sequencing_50X,CircleSeeker,5-50kb,361,345,0.9557
human_U_10000,rep1,sequencing_50X,CircleSeeker,>50kb,277,246,0.8881
human_U_10000,rep1,sequencing_50X,CReSIL,<1kb,5804,4792,0.8256
human_U_10000,rep1,sequencing_50X,CReSIL,1-5kb,3558,3277,0.921
human_U_10000,rep1,sequencing_50X,CReSIL,5-50kb,361,331,0.9169
human_U_10000,rep1,sequencing_50X,CReSIL,>50kb,277,241,0.87
human_U_10000,rep1,sequencing_50X,CReSIL_HiFi,<1kb,5804,5318,0.9163
human_U_10000,rep1,sequencing_50X,CReSIL_HiFi,1-5kb,3558,3323,0.934
human_U_10000,rep1,sequencing_50X,CReSIL_HiFi,5-50kb,361,332,0.9197
human_U_10000,rep1,sequencing_50X,CReSIL_HiFi,>50kb,277,249,0.8989
human_U_10000,rep1,sequencing_50X,eccDNA_RCA,<1kb,5804,5188,0.8939
human_U_10000,rep1,sequencing_50X,eccDNA_RCA,1-5kb,3558,3464,0.9736
human_U_10000,rep1,sequencing_50X,eccDNA_RCA,5-50kb,361,175,0.4848
human_U_10000,rep1,sequencing_50X,eccDNA_RCA,>50kb,277,0,0.0
human_U_10000,rep1,sequencing_50X,ecc_finder,<1kb,5804,2224,0.3832
human_U_10000,rep1,sequencing_50X,ecc_finder,1-5kb,3558,1708,0.48
human_U_10000,rep1,sequencing_50X,ecc_finder,5-50kb,361,162,0.4488
human_U_10000,rep1,sequencing_50X,ecc_finder,>50kb,277,157,0.5668
human_U_10000,rep2,sequencing_50X,CircleMap,<1kb,5826,4474,0.7679
human_U_10000,rep2,sequencing_50X,CircleMap,1-5kb,3574,3411,0.9544
human_U_10000,rep2,sequencing_50X,CircleMap,5-50kb,326,298,0.9141
human_U_10000,rep2,sequencing_50X,CircleMap,>50kb,274,246,0.8978
human_U_10000,rep2,sequencing_50X,CircleSeeker,<1kb,5826,5792,0.9942
human_U_10000,rep2,sequencing_50X,CircleSeeker,1-5kb,3574,3565,0.9975
human_U_10000,rep2,sequencing_50X,CircleSeeker,5-50kb,326,307,0.9417
human_U_10000,rep2,sequencing_50X,CircleSeeker,>50kb,274,239,0.8723
human_U_10000,rep2,sequencing_50X,CReSIL,<1kb,5826,4748,0.815
human_U_10000,rep2,sequencing_50X,CReSIL,1-5kb,3574,3238,0.906
human_U_10000,rep2,sequencing_50X,CReSIL,5-50kb,326,288,0.8834
human_U_10000,rep2,sequencing_50X,CReSIL,>50kb,274,240,0.8759
human_U_10000,rep2,sequencing_50X,CReSIL_HiFi,<1kb,5826,5310,0.9114
human_U_10000,rep2,sequencing_50X,CReSIL_HiFi,1-5kb,3574,3299,0.9231
human_U_10000,rep2,sequencing_50X,CReSIL_HiFi,5-50kb,326,295,0.9049
human_U_10000,rep2,sequencing_50X,CReSIL_HiFi,>50kb,274,240,0.8759
human_U_10000,rep2,sequencing_50X,eccDNA_RCA,<1kb,5826,5207,0.8938
human_U_10000,rep2,sequencing_50X,eccDNA_RCA,1-5kb,3574,3458,0.9675
human_U_10000,rep2,sequencing_50X,eccDNA_RCA,5-50kb,326,132,0.4049
human_U_10000,rep2,sequencing_50X,eccDNA_RCA,>50kb,274,0,0.0
human_U_10000,rep2,sequencing_50X,ecc_finder,<1kb,5826,2283,0.3919
human_U_10000,rep2,sequencing_50X,ecc_finder,1-5kb,3574,1637,0.458
human_U_10000,rep2,sequencing_50X,ecc_finder,5-50kb,326,138,0.4233
human_U_10000,rep2,sequencing_50X,ecc_finder,>50kb,274,173,0.6314
human_U_10000,rep3,sequencing_50X,CircleMap,<1kb,5842,4487,0.7681
human_U_10000,rep3,sequencing_50X,CircleMap,1-5kb,3562,3410,0.9573
human_U_10000,rep3,sequencing_50X,CircleMap,5-50kb,354,335,0.9463
human_U_10000,rep3,sequencing_50X,CircleMap,>50kb,242,219,0.905
human_U_10000,rep3,sequencing_50X,CircleSeeker,<1kb,5842,5807,0.994
human_U_10000,rep3,sequencing_50X,CircleSeeker,1-5kb,3562,3548,0.9961
human_U_10000,rep3,sequencing_50X,CircleSeeker,5-50kb,354,339,0.9576
human_U_10000,rep3,sequencing_50X,CircleSeeker,>50kb,242,216,0.8926
human_U_10000,rep3,sequencing_50X,CReSIL,<1kb,5842,4797,0.8211
human_U_10000,rep3,sequencing_50X,CReSIL,1-5kb,3562,3273,0.9189
human_U_10000,rep3,sequencing_50X,CReSIL,5-50kb,354,321,0.9068
human_U_10000,rep3,sequencing_50X,CReSIL,>50kb,242,212,0.876
human_U_10000,rep3,sequencing_50X,CReSIL_HiFi,<1kb,5842,5360,0.9175
human_U_10000,rep3,sequencing_50X,CReSIL_HiFi,1-5kb,3562,3320,0.9321
human_U_10000,rep3,sequencing_50X,CReSIL_HiFi,5-50kb,354,322,0.9096
human_U_10000,rep3,sequencing_50X,CReSIL_HiFi,>50kb,242,213,0.8802
human_U_10000,rep3,sequencing_50X,eccDNA_RCA,<1kb,5842,5226,0.8946
human_U_10000,rep3,sequencing_50X,eccDNA_RCA,1-5kb,3562,3449,0.9683
human_U_10000,rep3,sequencing_50X,eccDNA_RCA,5-50kb,354,151,0.4266
human_U_10000,rep3,sequencing_50X,eccDNA_RCA,>50kb,242,0,0.0
human_U_10000,rep3,sequencing_50X,ecc_finder,<1kb,5842,2269,0.3884
human_U_10000,rep3,sequencing_50X,ecc_finder,1-5kb,3562,1621,0.4551
human_U_10000,rep3,sequencing_50X,ecc_finder,5-50kb,354,128,0.3616
human_U_10000,rep3,sequencing_50X,ecc_finder,>50kb,242,158,0.6529
human_23000,rep1,sequencing_10X,CircleMap,<1kb,13014,5471,0.4204
human_23000,rep1,sequencing_10X,CircleMap,1-5kb,8051,4535,0.5633
human_23000,rep1,sequencing_10X,CircleMap,5-50kb,1376,400,0.2907
human_23000,rep1,sequencing_10X,CircleMap,>50kb,559,273,0.4884
human_23000,rep1,sequencing_10X,CircleSeeker,<1kb,13014,12023,0.9239
human_23000,rep1,sequencing_10X,CircleSeeker,1-5kb,8051,7554,0.9383
human_23000,rep1,sequencing_10X,CircleSeeker,5-50kb,1376,1001,0.7275
human_23000,rep1,sequencing_10X,CircleSeeker,>50kb,559,322,0.576
human_23000,rep1,sequencing_10X,CReSIL,<1kb,13014,5115,0.393
human_23000,rep1,sequencing_10X,CReSIL,1-5kb,8051,4104,0.5098
human_23000,rep1,sequencing_10X,CReSIL,5-50kb,1376,534,0.3881
human_23000,rep1,sequencing_10X,CReSIL,>50kb,559,262,0.4687
human_23000,rep1,sequencing_10X,CReSIL_HiFi,<1kb,13014,7483,0.575
human_23000,rep1,sequencing_10X,CReSIL_HiFi,1-5kb,8051,4361,0.5417
human_23000,rep1,sequencing_10X,CReSIL_HiFi,5-50kb,1376,537,0.3903
human_23000,rep1,sequencing_10X,CReSIL_HiFi,>50kb,559,323,0.5778
human_23000,rep1,sequencing_10X,eccDNA_RCA,<1kb,13014,8497,0.6529
human_23000,rep1,sequencing_10X,eccDNA_RCA,1-5kb,8051,6006,0.746
human_23000,rep1,sequencing_10X,eccDNA_RCA,5-50kb,1376,170,0.1235
human_23000,rep1,sequencing_10X,eccDNA_RCA,>50kb,559,0,0.0
human_23000,rep1,sequencing_10X,ecc_finder,<1kb,13014,852,0.0655
human_23000,rep1,sequencing_10X,ecc_finder,1-5kb,8051,752,0.0934
human_23000,rep1,sequencing_10X,ecc_finder,5-50kb,1376,100,0.0727
human_23000,rep1,sequencing_10X,ecc_finder,>50kb,559,193,0.3453
human_23000,rep2,sequencing_10X,CircleMap,<1kb,13076,5296,0.405
human_23000,rep2,sequencing_10X,CircleMap,1-5kb,8015,4511,0.5628
human_23000,rep2,sequencing_10X,CircleMap,5-50kb,1331,392,0.2945
human_23000,rep2,sequencing_10X,CircleMap,>50kb,578,319,0.5519
human_23000,rep2,sequencing_10X,CircleSeeker,<1kb,13076,12103,0.9256
human_23000,rep2,sequencing_10X,CircleSeeker,1-5kb,8015,7509,0.9369
human_23000,rep2,sequencing_10X,CircleSeeker,5-50kb,1331,982,0.7378
human_23000,rep2,sequencing_10X,CircleSeeker,>50kb,578,348,0.6021
human_23000,rep2,sequencing_10X,CReSIL,<1kb,13076,4950,0.3786
human_23000,rep2,sequencing_10X,CReSIL,1-5kb,8015,4056,0.5061
human_23000,rep2,sequencing_10X,CReSIL,5-50kb,1331,489,0.3674
human_23000,rep2,sequencing_10X,CReSIL,>50kb,578,292,0.5052
human_23000,rep2,sequencing_10X,CReSIL_HiFi,<1kb,13076,7405,0.5663
human_23000,rep2,sequencing_10X,CReSIL_HiFi,1-5kb,8015,4352,0.543
human_23000,rep2,sequencing_10X,CReSIL_HiFi,5-50kb,1331,493,0.3704
human_23000,rep2,sequencing_10X,CReSIL_HiFi,>50kb,578,345,0.5969
human_23000,rep2,sequencing_10X,eccDNA_RCA,<1kb,13076,8344,0.6381
human_23000,rep2,sequencing_10X,eccDNA_RCA,1-5kb,8015,5905,0.7367
human_23000,rep2,sequencing_10X,eccDNA_RCA,5-50kb,1331,154,0.1157
human_23000,rep2,sequencing_10X,eccDNA_RCA,>50kb,578,0,0.0
human_23000,rep2,sequencing_10X,ecc_finder,<1kb,13076,847,0.0648
human_23000,rep2,sequencing_10X,ecc_finder,1-5kb,8015,729,0.091
human_23000,rep2,sequencing_10X,ecc_finder,5-50kb,1331,81,0.0609
human_23000,rep2,sequencing_10X,ecc_finder,>50kb,578,229,0.3962
human_23000,rep3,sequencing_10X,CircleMap,<1kb,12995,5343,0.4112
human_23000,rep3,sequencing_10X,CircleMap,1-5kb,8133,4551,0.5596
human_23000,rep3,sequencing_10X,CircleMap,5-50kb,1354,438,0.3235
human_23000,rep3,sequencing_10X,CircleMap,>50kb,518,295,0.5695
human_23000,rep3,sequencing_10X,CircleSeeker,<1kb,12995,12029,0.9257
human_23000,rep3,sequencing_10X,CircleSeeker,1-5kb,8133,7625,0.9375
human_23000,rep3,sequencing_10X,CircleSeeker,5-50kb,1354,980,0.7238
human_23000,rep3,sequencing_10X,CircleSeeker,>50kb,518,317,0.612
human_23000,rep3,sequencing_10X,CReSIL,<1kb,12995,5005,0.3851
human_23000,rep3,sequencing_10X,CReSIL,1-5kb,8133,4216,0.5184
human_23000,rep3,sequencing_10X,CReSIL,5-50kb,1354,523,0.3863
human_23000,rep3,sequencing_10X,CReSIL,>50kb,518,273,0.527
human_23000,rep3,sequencing_10X,CReSIL_HiFi,<1kb,12995,7388,0.5685
human_23000,rep3,sequencing_10X,CReSIL_HiFi,1-5kb,8133,4544,0.5587
human_23000,rep3,sequencing_10X,CReSIL_HiFi,5-50kb,1354,532,0.3929
human_23000,rep3,sequencing_10X,CReSIL_HiFi,>50kb,518,316,0.61
human_23000,rep3,sequencing_10X,eccDNA_RCA,<1kb,12995,8449,0.6502
human_23000,rep3,sequencing_10X,eccDNA_RCA,1-5kb,8133,6021,0.7403
human_23000,rep3,sequencing_10X,eccDNA_RCA,5-50kb,1354,162,0.1196
human_23000,rep3,sequencing_10X,eccDNA_RCA,>50kb,518,0,0.0
human_23000,rep3,sequencing_10X,ecc_finder,<1kb,12995,822,0.0633
human_23000,rep3,sequencing_10X,ecc_finder,1-5kb,8133,697,0.0857
human_23000,rep3,sequencing_10X,ecc_finder,5-50kb,1354,82,0.0606
human_23000,rep3,sequencing_10X,ecc_finder,>50kb,518,203,0.3919
human_23000,rep1,sequencing_30X,CircleMap,<1kb,13014,8291,0.6371
human_23000,rep1,sequencing_30X,CircleMap,1-5kb,8051,6449,0.801
human_23000,rep1,sequencing_30X,CircleMap,5-50kb,1376,627,0.4557
human_23000,rep1,sequencing_30X,CircleMap,>50kb,559,458,0.8193
human_23000,rep1,sequencing_30X,CircleSeeker,<1kb,13014,12611,0.969
human_23000,rep1,sequencing_30X,CircleSeeker,1-5kb,8051,7908,0.9822
human_23000,rep1,sequencing_30X,CircleSeeker,5-50kb,1376,1219,0.8859
human_23000,rep1,sequencing_30X,CircleSeeker,>50kb,559,443,0.7925
human_23000,rep1,sequencing_30X,CReSIL,<1kb,13014,8386,0.6444
human_23000,rep1,sequencing_30X,CReSIL,1-5kb,8051,6014,0.747
human_23000,rep1,sequencing_30X,CReSIL,5-50kb,1376,789,0.5734
human_23000,rep1,sequencing_30X,CReSIL,>50kb,559,427,0.7639
human_23000,rep1,sequencing_30X,CReSIL_HiFi,<1kb,13014,9914,0.7618
human_23000,rep1,sequencing_30X,CReSIL_HiFi,1-5kb,8051,6154,0.7644
human_23000,rep1,sequencing_30X,CReSIL_HiFi,5-50kb,1376,691,0.5022
human_23000,rep1,sequencing_30X,CReSIL_HiFi,>50kb,559,445,0.7961
human_23000,rep1,sequencing_30X,eccDNA_RCA,<1kb,13014,10045,0.7719
human_23000,rep1,sequencing_30X,eccDNA_RCA,1-5kb,8051,6748,0.8382
human_23000,rep1,sequencing_30X,eccDNA_RCA,5-50kb,1376,298,0.2166
human_23000,rep1,sequencing_30X,eccDNA_RCA,>50kb,559,0,0.0
human_23000,rep1,sequencing_30X,ecc_finder,<1kb,13014,1143,0.0878
human_23000,rep1,sequencing_30X,ecc_finder,1-5kb,8051,889,0.1104
human_23000,rep1,sequencing_30X,ecc_finder,5-50kb,1376,128,0.093
human_23000,rep1,sequencing_30X,ecc_finder,>50kb,559,268,0.4794
human_23000,rep2,sequencing_30X,CircleMap,<1kb,13076,8251,0.631
human_23000,rep2,sequencing_30X,CircleMap,1-5kb,8015,6357,0.7931
human_23000,rep2,sequencing_30X,CircleMap,5-50kb,1331,593,0.4455
human_23000,rep2,sequencing_30X,CircleMap,>50kb,578,486,0.8408
human_23000,rep2,sequencing_30X,CircleSeeker,<1kb,13076,12681,0.9698
human_23000,rep2,sequencing_30X,CircleSeeker,1-5kb,8015,7870,0.9819
human_23000,rep2,sequencing_30X,CircleSeeker,5-50kb,1331,1181,0.8873
human_23000,rep2,sequencing_30X,CircleSeeker,>50kb,578,465,0.8045
human_23000,rep2,sequencing_30X,CReSIL,<1kb,13076,8302,0.6349
human_23000,rep2,sequencing_30X,CReSIL,1-5kb,8015,5965,0.7442
human_23000,rep2,sequencing_30X,CReSIL,5-50kb,1331,716,0.5379
human_23000,rep2,sequencing_30X,CReSIL,>50kb,578,443,0.7664
human_23000,rep2,sequencing_30X,CReSIL_HiFi,<1kb,13076,9891,0.7564
human_23000,rep2,sequencing_30X,CReSIL_HiFi,1-5kb,8015,6108,0.7621
human_23000,rep2,sequencing_30X,CReSIL_HiFi,5-50kb,1331,656,0.4929
human_23000,rep2,sequencing_30X,CReSIL_HiFi,>50kb,578,462,0.7993
human_23000,rep2,sequencing_30X,eccDNA_RCA,<1kb,13076,10026,0.7667
human_23000,rep2,sequencing_30X,eccDNA_RCA,1-5kb,8015,6676,0.8329
human_23000,rep2,sequencing_30X,eccDNA_RCA,5-50kb,1331,263,0.1976
human_23000,rep2,sequencing_30X,eccDNA_RCA,>50kb,578,0,0.0
human_23000,rep2,sequencing_30X,ecc_finder,<1kb,13076,854,0.0653
human_23000,rep2,sequencing_30X,ecc_finder,1-5kb,8015,719,0.0897
human_23000,rep2,sequencing_30X,ecc_finder,5-50kb,1331,107,0.0804
human_23000,rep2,sequencing_30X,ecc_finder,>50kb,578,300,0.519
human_23000,rep3,sequencing_30X,CircleMap,<1kb,12995,8251,0.6349
human_23000,rep3,sequencing_30X,CircleMap,1-5kb,8133,6443,0.7922
human_23000,rep3,sequencing_30X,CircleMap,5-50kb,1354,631,0.466
human_23000,rep3,sequencing_30X,CircleMap,>50kb,518,439,0.8475
human_23000,rep3,sequencing_30X,CircleSeeker,<1kb,12995,12599,0.9695
human_23000,rep3,sequencing_30X,CircleSeeker,1-5kb,8133,7968,0.9797
human_23000,rep3,sequencing_30X,CircleSeeker,5-50kb,1354,1175,0.8678
human_23000,rep3,sequencing_30X,CircleSeeker,>50kb,518,411,0.7934
human_23000,rep3,sequencing_30X,CReSIL,<1kb,12995,8334,0.6413
human_23000,rep3,sequencing_30X,CReSIL,1-5kb,8133,6101,0.7502
human_23000,rep3,sequencing_30X,CReSIL,5-50kb,1354,733,0.5414
human_23000,rep3,sequencing_30X,CReSIL,>50kb,518,403,0.778
human_23000,rep3,sequencing_30X,CReSIL_HiFi,<1kb,12995,9906,0.7623
human_23000,rep3,sequencing_30X,CReSIL_HiFi,1-5kb,8133,6244,0.7677
human_23000,rep3,sequencing_30X,CReSIL_HiFi,5-50kb,1354,667,0.4926
human_23000,rep3,sequencing_30X,CReSIL_HiFi,>50kb,518,410,0.7915
human_23000,rep3,sequencing_30X,eccDNA_RCA,<1kb,12995,10048,0.7732
human_23000,rep3,sequencing_30X,eccDNA_RCA,1-5kb,8133,6791,0.835
human_23000,rep3,sequencing_30X,eccDNA_RCA,5-50kb,1354,276,0.2038
human_23000,rep3,sequencing_30X,eccDNA_RCA,>50kb,518,0,0.0
human_23000,rep3,sequencing_30X,ecc_finder,<1kb,12995,1184,0.0911
human_23000,rep3,sequencing_30X,ecc_finder,1-5kb,8133,885,0.1088
human_23000,rep3,sequencing_30X,ecc_finder,5-50kb,1354,126,0.0931
human_23000,rep3,sequencing_30X,ecc_finder,>50kb,518,279,0.5386
human_23000,rep1,sequencing_50X,CircleMap,<1kb,13014,9096,0.6989
human_23000,rep1,sequencing_50X,CircleMap,1-5kb,8051,6754,0.8389
human_23000,rep1,sequencing_50X,CircleMap,5-50kb,1376,674,0.4898
human_23000,rep1,sequencing_50X,CircleMap,>50kb,559,493,0.8819
human_23000,rep1,sequencing_50X,CircleSeeker,<1kb,13014,12679,0.9743
human_23000,rep1,sequencing_50X,CircleSeeker,1-5kb,8051,7935,0.9856
human_23000,rep1,sequencing_50X,CircleSeeker,5-50kb,1376,1268,0.9215
human_23000,rep1,sequencing_50X,CircleSeeker,>50kb,559,461,0.8247
human_23000,rep1,sequencing_50X,CReSIL,<1kb,13014,9144,0.7026
human_23000,rep1,sequencing_50X,CReSIL,1-5kb,8051,6241,0.7752
human_23000,rep1,sequencing_50X,CReSIL,5-50kb,1376,873,0.6344
human_23000,rep1,sequencing_50X,CReSIL,>50kb,559,445,0.7961
human_23000,rep1,sequencing_50X,CReSIL_HiFi,<1kb,13014,10193,0.7832
human_23000,rep1,sequencing_50X,CReSIL_HiFi,1-5kb,8051,6354,0.7892
human_23000,rep1,sequencing_50X,CReSIL_HiFi,5-50kb,1376,711,0.5167
human_23000,rep1,sequencing_50X,CReSIL_HiFi,>50kb,559,463,0.8283
human_23000,rep1,sequencing_50X,eccDNA_RCA,<1kb,13014,10432,0.8016
human_23000,rep1,sequencing_50X,eccDNA_RCA,1-5kb,8051,6852,0.8511
human_23000,rep1,sequencing_50X,eccDNA_RCA,5-50kb,1376,351,0.2551
human_23000,rep1,sequencing_50X,eccDNA_RCA,>50kb,559,0,0.0
human_23000,rep1,sequencing_50X,ecc_finder,<1kb,13014,1120,0.0861
human_23000,rep1,sequencing_50X,ecc_finder,1-5kb,8051,840,0.1043
human_23000,rep1,sequencing_50X,ecc_finder,5-50kb,1376,134,0.0974
human_23000,rep1,sequencing_50X,ecc_finder,>50kb,559,282,0.5045
human_23000,rep2,sequencing_50X,CircleMap,<1kb,13076,9053,0.6923
human_23000,rep2,sequencing_50X,CircleMap,1-5kb,8015,6676,0.8329
human_23000,rep2,sequencing_50X,CircleMap,5-50kb,1331,619,0.4651
human_23000,rep2,sequencing_50X,CircleMap,>50kb,578,517,0.8945
human_23000,rep2,sequencing_50X,CircleSeeker,<1kb,13076,12761,0.9759
human_23000,rep2,sequencing_50X,CircleSeeker,1-5kb,8015,7900,0.9857
human_23000,rep2,sequencing_50X,CircleSeeker,5-50kb,1331,1219,0.9159
human_23000,rep2,sequencing_50X,CircleSeeker,>50kb,578,481,0.8322
human_23000,rep2,sequencing_50X,CReSIL,<1kb,13076,9070,0.6936
human_23000,rep2,sequencing_50X,CReSIL,1-5kb,8015,6256,0.7805
human_23000,rep2,sequencing_50X,CReSIL,5-50kb,1331,793,0.5958
human_23000,rep2,sequencing_50X,CReSIL,>50kb,578,460,0.7958
human_23000,rep2,sequencing_50X,CReSIL_HiFi,<1kb,13076,10184,0.7788
human_23000,rep2,sequencing_50X,CReSIL_HiFi,1-5kb,8015,6323,0.7889
human_23000,rep2,sequencing_50X,CReSIL_HiFi,5-50kb,1331,673,0.5056
human_23000,rep2,sequencing_50X,CReSIL_HiFi,>50kb,578,476,0.8235
human_23000,rep2,sequencing_50X,eccDNA_RCA,<1kb,13076,10457,0.7997
human_23000,rep2,sequencing_50X,eccDNA_RCA,1-5kb,8015,6784,0.8464
human_23000,rep2,sequencing_50X,eccDNA_RCA,5-50kb,1331,308,0.2314
human_23000,rep2,sequencing_50X,eccDNA_RCA,>50kb,578,0,0.0
human_23000,rep2,sequencing_50X,ecc_finder,<1kb,13076,931,0.0712
human_23000,rep2,sequencing_50X,ecc_finder,1-5kb,8015,742,0.0926
human_23000,rep2,sequencing_50X,ecc_finder,5-50kb,1331,113,0.0849
human_23000,rep2,sequencing_50X,ecc_finder,>50kb,578,310,0.5363
human_23000,rep3,sequencing_50X,CircleMap,<1kb,12995,9115,0.7014
human_23000,rep3,sequencing_50X,CircleMap,1-5kb,8133,6898,0.8481
human_23000,rep3,sequencing_50X,CircleMap,5-50kb,1354,676,0.4993
human_23000,rep3,sequencing_50X,CircleMap,>50kb,518,471,0.9093
human_23000,rep3,sequencing_50X,CircleSeeker,<1kb,12995,12676,0.9755
human_23000,rep3,sequencing_50X,CircleSeeker,1-5kb,8133,7998,0.9834
human_23000,rep3,sequencing_50X,CircleSeeker,5-50kb,1354,1216,0.8981
human_23000,rep3,sequencing_50X,CircleSeeker,>50kb,518,424,0.8185
human_23000,rep3,sequencing_50X,CReSIL,<1kb,12995,9116,0.7015
human_23000,rep3,sequencing_50X,CReSIL,1-5kb,8133,6317,0.7767
human_23000,rep3,sequencing_50X,CReSIL,5-50kb,1354,823,0.6078
human_23000,rep3,sequencing_50X,CReSIL,>50kb,518,416,0.8031
human_23000,rep3,sequencing_50X,CReSIL_HiFi,<1kb,12995,10188,0.784
human_23000,rep3,sequencing_50X,CReSIL_HiFi,1-5kb,8133,6419,0.7893
human_23000,rep3,sequencing_50X,CReSIL_HiFi,5-50kb,1354,686,0.5066
human_23000,rep3,sequencing_50X,CReSIL_HiFi,>50kb,518,418,0.8069
human_23000,rep3,sequencing_50X,eccDNA_RCA,<1kb,12995,10437,0.8032
human_23000,rep3,sequencing_50X,eccDNA_RCA,1-5kb,8133,6883,0.8463
human_23000,rep3,sequencing_50X,eccDNA_RCA,5-50kb,1354,316,0.2334
human_23000,rep3,sequencing_50X,eccDNA_RCA,>50kb,518,0,0.0
human_23000,rep3,sequencing_50X,ecc_finder,<1kb,12995,1054,0.0811
human_23000,rep3,sequencing_50X,ecc_finder,1-5kb,8133,843,0.1037
human_23000,rep3,sequencing_50X,ecc_finder,5-50kb,1354,127,0.0938
human_23000,rep3,sequencing_50X,ecc_finder,>50kb,518,291,0.5618
