Tool,Dataset,Rep,Depth,Time_seconds,Memory_GB,CS_Internal_Time_seconds
CircleMap,human_U_10000,rep1,sequencing_50X,2868.12,13.5,
CircleMap,human_U_10000,rep2,sequencing_10X,637.55,11.67,
CircleMap,human_U_10000,rep2,sequencing_30X,1518.09,11.83,
CircleMap,human_U_10000,rep2,sequencing_50X,2781.14,13.54,
CircleMap,human_U_10000,rep3,sequencing_10X,622.99,11.66,
CircleMap,human_U_10000,rep3,sequencing_30X,1627.75,11.67,
CircleMap,human_U_10000,rep3,sequencing_50X,2393.59,13.6,
CircleSeeker,ara_UMC_5200,rep1,sequencing_10X,364.78,15.54,341.0
CircleSeeker,ara_UMC_5200,rep1,sequencing_30X,785.15,17.94,754.0
CircleSeeker,ara_UMC_5200,rep1,sequencing_50X,1275.95,19.61,1235.0
CircleSeeker,ara_UMC_5200,rep2,sequencing_10X,376.99,13.01,340.0
CircleSeeker,ara_UMC_5200,rep2,sequencing_30X,749.87,21.22,716.0
CircleSeeker,ara_UMC_5200,rep2,sequencing_50X,1167.86,20.38,1136.0
CircleSeeker,ara_UMC_5200,rep3,sequencing_10X,348.42,13.23,315.0
CircleSeeker,ara_UMC_5200,rep3,sequencing_30X,752.34,16.12,718.0
CircleSeeker,ara_UMC_5200,rep3,sequencing_50X,1210.4,19.68,1171.0
CircleSeeker,human_23000,rep1,sequencing_10X,6538.0,28.77,6528.0
CircleSeeker,human_23000,rep1,sequencing_30X,7514.0,33.16,7446.0
CircleSeeker,human_23000,rep1,sequencing_50X,10379.0,36.69,10295.0
CircleSeeker,human_23000,rep2,sequencing_10X,6074.0,25.51,6051.0
CircleSeeker,human_23000,rep2,sequencing_30X,8531.0,28.35,8503.0
CircleSeeker,human_23000,rep2,sequencing_50X,10169.0,38.34,10082.0
CircleSeeker,human_23000,rep3,sequencing_10X,5783.0,29.21,5768.0
CircleSeeker,human_23000,rep3,sequencing_30X,8279.0,30.52,8249.0
CircleSeeker,human_23000,rep3,sequencing_50X,10916.0,35.69,10842.0
CircleSeeker,human_U_10000,rep1,sequencing_10X,5438.0,24.44,5395.0
CircleSeeker,human_U_10000,rep1,sequencing_30X,6474.0,25.55,6427.0
CircleSeeker,human_U_10000,rep1,sequencing_50X,7119.0,25.81,7073.0
CircleSeeker,human_U_10000,rep2,sequencing_10X,5437.0,25.13,5388.0
CircleSeeker,human_U_10000,rep2,sequencing_30X,6447.0,26.69,6402.0
CircleSeeker,human_U_10000,rep2,sequencing_50X,7780.0,30.3,7735.0
CircleSeeker,human_U_10000,rep3,sequencing_10X,5480.0,25.06,5435.0
CircleSeeker,human_U_10000,rep3,sequencing_30X,6568.0,26.96,6524.0
CircleSeeker,human_U_10000,rep3,sequencing_50X,7576.0,26.83,7530.0
eccDNA_RCA,ara_UMC_5200,rep1,sequencing_10X,113.24,3.89,
eccDNA_RCA,ara_UMC_5200,rep1,sequencing_30X,276.92,4.85,
eccDNA_RCA,ara_UMC_5200,rep1,sequencing_50X,454.45,4.87,
