tool,profile,n_replicates,precision_mean,precision_sd,recall_mean,recall_sd,f1_mean,f1_sd,recall_lt_1kb_mean,recall_lt_1kb_sd,recall_1_5kb_mean,recall_1_5kb_sd,recall_5_50kb_mean,recall_5_50kb_sd,recall_ge_50kb_mean,recall_ge_50kb_sd
CircleSeeker,builtin_HeLa_HiFi_2k,3,0.9946414203393049,0.0024650267844912237,0.9886666666666667,0.00225462487641142,0.9916417325344608,0.0008030313546614301,0.9901244048200742,0.0010494015235047835,0.9935517770873826,0.004216344274500355,0.9515993265993266,0.03154881705708786,0.9396805380411939,0.0425516938208377
CircleSeeker,synthetic_q39,3,0.9931512840549507,0.0018928297103812375,0.9908333333333333,0.0023094010767585054,0.9919903587169828,0.0018905077304490002,0.9933192335534967,0.0013432349054144747,0.9921680108966805,0.005225835079043037,0.9659090909090909,0.031005124135880465,0.9545523329129887,0.018030441032964528
