profile,n_replicates,n_reads_mean,n_reads_sd,total_bases_mean,total_bases_sd,length_mean_mean,length_mean_sd,length_sd_mean,length_sd_sd,length_median_mean,length_median_sd,length_n50_mean,length_n50_sd,mean_base_qscore_mean,mean_base_qscore_sd
builtin,3,119938.66666666667,8273.611625725089,881063638.3333334,114517838.61500779,7324.628008709452,464.1284166151501,6731.935803926947,61.65528674051198,6610.166666666667,3165.4748590588006,13260.0,101.3706071797935,38.857208291304886,0.005443924035360438
synthetic_q39,3,117224.66666666667,7926.118490997553,881063897.3333334,114517415.47185524,7494.199284487661,485.5951767397616,8687.137443237463,182.01138624042758,4018.6666666666665,1262.3511133331065,15551.0,177.21173776022852,39.00962699334156,0.0017562622017250932
